epoch,training_loss,validation_loss,mean_IoU,accuracy,dice
1,0.8578279134649416,0.6952135639022226,0.43077,0.77047,0.51442
2,0.7710265006395811,0.6486557848022684,0.51792,0.74689,0.66807
3,0.6469883723799431,0.49733587589276873,0.62496,0.82238,0.76095
4,0.6159895717123888,0.47936820769277605,0.64185,0.83491,0.77429
5,0.5993024807973651,0.5165015856289993,0.59702,0.79002,0.74095
6,0.5771219066063347,0.5410408623435575,0.56103,0.76667,0.70952
7,0.5732293474564673,0.5009965951675954,0.60415,0.80793,0.7437
8,0.5765872057590702,0.4840739395307458,0.6414,0.83562,0.7741
9,0.5704572602366005,0.47704470839918306,0.64612,0.83088,0.7791
10,0.5578911965643166,0.464119593,0.64509,0.8327,0.77751
11,0.5614861161774564,0.49611486741544114,0.6061,0.79875,0.74721
12,0.5553822956720609,0.47829642,0.64906,0.83795,0.78026
13,0.5548377611590048,0.529487785,0.575,0.79503,0.71655
14,0.5504319700225427,0.46305941047308885,0.64757,0.83062,0.78021
15,0.5563840244074433,0.5010239784200878,0.60003,0.79811,0.74186
16,0.554868006,0.4792108689637288,0.62781,0.81374,0.7656
17,0.5471130003372855,0.4981977139478144,0.59142,0.78607,0.73502
18,0.5357803380797719,0.46253945473986474,0.63101,0.82921,0.76504
19,0.5362969772538982,0.4631647258673025,0.6483,0.82944,0.78122
20,0.5407182975000796,0.46626427980220836,0.63645,0.81851,0.77267
21,0.5329086123284148,0.500277504,0.60061,0.80549,0.74056
22,0.5311771271847965,0.46612645305045275,0.62537,0.81598,0.76261
23,0.5303794154764195,0.4767187780741116,0.63823,0.84024,0.77031
24,0.5278819915873408,0.4443742567268403,0.65315,0.84019,0.78327
25,0.522421265,0.5253917671051687,0.5638,0.78107,0.70782
26,0.5194721829838458,0.4458401460079071,0.65972,0.84698,0.78797
27,0.5363480983348912,0.44155121236310707,0.67019,0.84963,0.79671
28,0.5368956577430947,0.45014370483872684,0.63676,0.82359,0.77161
29,0.5291739651556726,0.4759924912460796,0.64263,0.82899,0.77617
30,0.5251944892214949,0.4490911415575639,0.63955,0.82664,0.77358
