epoch,training_loss,validation_loss,mean_IoU,accuracy,dice
1,0.9530911284239114,0.7605941807446273,0.41815,0.7598,0.50304
2,0.8155235743036076,0.722223513962134,0.42167,0.76048,0.5054
3,0.7961910601781339,0.7116665752685588,0.44376,0.75401,0.55449
4,0.7892580347401755,0.7024443941595762,0.46947,0.75576,0.59874
5,0.7910926223206682,0.7004915654011394,0.47398,0.76094,0.60408
6,0.7800857946986244,0.7050023108072903,0.42613,0.77003,0.50964
7,0.7764465240394177,0.6904104502628678,0.45057,0.72572,0.57401
8,0.7770314613978068,0.6912428203808225,0.48202,0.7638,0.6119
9,0.7748519199235099,0.6994816259197567,0.45118,0.7153,0.57923
10,0.7718319976005424,0.7266602543709071,0.45563,0.70437,0.5924
11,0.7693313457933413,0.6816083507045455,0.49161,0.76535,0.62504
12,0.7683930872248954,0.6753829879605252,0.46144,0.73905,0.58569
13,0.7681373113272142,0.6892698169078516,0.49511,0.76253,0.63059
14,0.7589181400886198,0.7160902170707351,0.48757,0.7185,0.63461
15,0.7530620426142297,0.6506895435893018,0.52022,0.74654,0.66573
16,0.6806806034985042,0.5437841909411161,0.5838,0.79608,0.72572
17,0.6286630067695566,0.5364050763132779,0.57293,0.79395,0.71459
18,0.5958983934250007,0.5018863061685925,0.65511,0.84228,0.78491
19,0.5767847518937117,0.49923736002782115,0.6122,0.80835,0.75162
20,0.5855634315484235,0.4939148440633131,0.63185,0.82038,0.76795
21,0.5822373797901633,0.5265489661175272,0.57538,0.7897,0.71818
22,0.5587059358755747,0.4887201585199522,0.62049,0.81696,0.75765
23,0.5663537062349774,0.4755194036533003,0.64644,0.83804,0.77774
24,0.555382111911871,0.48507057551456534,0.64459,0.82934,0.77789
25,0.5625664525899757,0.5057240688930387,0.59674,0.79675,0.73877
26,0.5674414602874899,0.4883733736756055,0.61492,0.81294,0.75289
27,0.5576834251888755,0.4809947000087603,0.62725,0.82069,0.76324
28,0.5452727404784183,0.47276179630147375,0.64352,0.83662,0.77525
29,0.5582323089748824,0.47854419125486974,0.66056,0.84277,0.78962
30,0.5559812901985077,0.48361583191739477,0.65019,0.8345,0.78193
31,0.5512971924883979,0.4671793648082277,0.65851,0.84449,0.78736
32,0.5424058199739781,0.5010668722831685,0.6014,0.8071,0.74092
33,0.5509932776900376,0.5135214587106652,0.58194,0.78879,0.72528
34,0.5478216766297411,0.46406795424611674,0.64769,0.83586,0.77914
35,0.5602903411907404,0.48057068098822364,0.61906,0.82055,0.75529
36,0.5402341444476121,0.47544838066982187,0.626,0.81988,0.76198
37,0.5327259655104203,0.48288091814712336,0.61525,0.81176,0.75347
38,0.539906184770623,0.46336096249844716,0.64949,0.83924,0.78017
39,0.5361942093185827,0.46327744456736936,0.66328,0.84926,0.79081
40,0.5442958319470996,0.5104963207698386,0.58841,0.78951,0.73179
41,0.5407342450148395,0.5398455644431321,0.56699,0.78368,0.71063
42,0.5376768551716188,0.4760094583844361,0.65242,0.84538,0.78203
43,0.5487850220227728,0.4609825653226479,0.65192,0.84086,0.78204
1,0.5374390188528567,0.4843836226703032,0.62019,0.82403,0.75586
2,0.5372711258072431,0.4637001891337011,0.64604,0.83376,0.77803
3,0.5300635116238173,0.4653879311745581,0.65233,0.83708,0.78316
4,0.5258006245911527,0.46012325617282285,0.65306,0.83907,0.78348
5,0.5321179680070098,0.46312943570639775,0.63609,0.82553,0.77049
6,0.5272757488448604,0.4890443740979485,0.61128,0.80056,0.75253
7,0.5339818529328522,0.4723665796868179,0.6471,0.84342,0.77755
8,0.5353254372773527,0.45940447112788324,0.64724,0.83147,0.77973
9,0.5296702793260821,0.4799089490071587,0.60884,0.80799,0.74798
10,0.5326966699897027,0.4593363240685152,0.6424,0.82944,0.77555
11,0.5263888613910092,0.4592986930485653,0.63833,0.83063,0.77149
12,0.5363232025078365,0.5291147296843322,0.56445,0.76946,0.71165
13,0.5328880267889321,0.46492492026932863,0.62982,0.82051,0.76555
14,0.5217005287506142,0.46286647604859393,0.63361,0.82247,0.76879
15,0.5278736925246764,0.4798366594249788,0.60883,0.80668,0.7483
16,0.522303916828162,0.45652102452257404,0.67215,0.85259,0.79796
17,0.5277442090770825,0.4600843922437533,0.67452,0.85544,0.79954
18,0.519641101623879,0.4843705196905395,0.60595,0.80735,0.74512
19,0.5186068318328079,0.46844401348220266,0.62389,0.81752,0.7605
20,0.5139396966922851,0.5021280272985282,0.59041,0.78969,0.73342
21,0.5184593806866886,0.45660374386479025,0.64143,0.83073,0.77431
22,0.5204144174144382,0.47404397254728753,0.63148,0.83195,0.76492
23,0.5207986961822121,0.4573918335625659,0.65514,0.84428,0.78444
24,0.5191962626921076,0.45318203945846663,0.65025,0.83831,0.78099
25,0.5161085462489096,0.4603316802531481,0.63107,0.82177,0.76642
26,0.5221800127402455,0.4922134368477956,0.598,0.79649,0.73954
27,0.5276566156521947,0.48341984876795957,0.61608,0.82114,0.75236
28,0.5191364891066843,0.46986532681014226,0.65301,0.84799,0.78209
29,0.5259817677898472,0.4831232437459023,0.60754,0.81144,0.74593
30,0.5071012519249299,0.5127636686615322,0.58996,0.80616,0.7295
31,0.5090071269646794,0.4476303495466709,0.65694,0.84265,0.78621
